Term	Grupo
Notch signaling pathway	CM exclusivo
Golgi to plasma membrane transport	CM exclusivo
neural tube closure	CM exclusivo
regulation of autophagosome assembly	CM exclusivo
response to monoamine	CM exclusivo
response to catecholamine	CM exclusivo
cell communication by electrical coupling	CM exclusivo
vesicle fusion to plasma membrane	CM exclusivo
brain-derived neurotrophic factor receptor signaling pathway	CM exclusivo
hydrogen peroxide metabolic process	CM exclusivo
monosaccharide catabolic process	CM exclusivo
regulation of actin polymerization or depolymerization	CM exclusivo
regulation of small GTPase mediated signal transduction	CM exclusivo
transforming growth factor beta receptor signaling pathway	CM exclusivo
fat cell differentiation	CM exclusivo
regulation of epithelial to mesenchymal transition	CM exclusivo
cytoskeleton-dependent cytokinesis	CM exclusivo
intracellular receptor signaling pathway	CM exclusivo
cellular response to insulin stimulus	CM exclusivo
sterol biosynthetic process	CM exclusivo
synaptic vesicle maturation	CM exclusivo
response to increased oxygen levels	CM exclusivo
ERK1 and ERK2 cascade	CM exclusivo
regulation of DNA-templated transcription elongation	CM exclusivo
tRNA wobble uridine modification	CM exclusivo
tyrosine metabolic process	CM exclusivo
amino-acid betaine metabolic process	CM exclusivo
muscle cell fate commitment	CM exclusivo
regulation of regulatory ncRNA processing	CM exclusivo
synaptic vesicle clustering	CM exclusivo
cardiac muscle cell development	CM exclusivo
tube closure	CM exclusivo
regulation of potassium ion transmembrane transport	CM exclusivo
negative regulation of secretion by cell	CM exclusivo
somatic diversification of immunoglobulins	CM exclusivo
positive regulation of small GTPase mediated signal transduction	CM exclusivo
regulation of muscle contraction	CM exclusivo
negative regulation of secretion	CM exclusivo
glycerol ether metabolic process	CM exclusivo
positive regulation of glycoprotein biosynthetic process	CM exclusivo
optic nerve development	CM exclusivo
ether lipid metabolic process	CM exclusivo
branching involved in salivary gland morphogenesis	CM exclusivo
membrane depolarization during cardiac muscle cell action potential	CM exclusivo
regulation of synaptic vesicle endocytosis	CM exclusivo
astrocyte development	CM exclusivo
regulation of mitotic spindle organization	CM exclusivo
collagen-activated signaling pathway	CM exclusivo
extracellular matrix assembly	CM exclusivo
cell communication involved in cardiac conduction	CM exclusivo
positive regulation of stem cell proliferation	CM exclusivo
androgen receptor signaling pathway	CM exclusivo
response to cadmium ion	CM exclusivo
pigment metabolic process	CM exclusivo
positive regulation of protein localization to nucleus	CM exclusivo
regulation of cell morphogenesis	CM exclusivo
cytosolic transport	CM exclusivo
gonad development	CM exclusivo
myofibril assembly	CM exclusivo
mechanoreceptor differentiation	CM exclusivo
regulation of mitochondrial membrane potential	CM exclusivo
cellular response to ionizing radiation	CM exclusivo
negative regulation of protein depolymerization	CM exclusivo
animal organ maturation	CM exclusivo
regulation of presynapse assembly	CM exclusivo
epithelium migration	CM exclusivo
negative regulation of protein localization	CM exclusivo
regulation of ossification	CM exclusivo
glycoprotein catabolic process	CM exclusivo
microtubule organizing center organization	CM exclusivo
regulation of axon extension	CM exclusivo
cellular response to osmotic stress	CM exclusivo
response to dopamine	CM exclusivo
base-excision repair	CM exclusivo
miRNA processing	CM exclusivo
superoxide anion generation	CM exclusivo
skeletal muscle tissue regeneration	CM exclusivo
response to superoxide	CM exclusivo
gastrulation with mouth forming second	CM exclusivo
protein quality control for misfolded or incompletely synthesized proteins	CM exclusivo
nucleotide salvage	CM exclusivo
glomerular epithelium development	CM exclusivo
negative regulation of miRNA transcription	CM exclusivo
negative regulation of stem cell proliferation	CM exclusivo
isoprenoid metabolic process	CM exclusivo
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	CM exclusivo
microtubule depolymerization	CM exclusivo
AMP biosynthetic process	CM exclusivo
mitochondrial DNA replication	CM exclusivo
glycine metabolic process	CM exclusivo
carnitine metabolic process	CM exclusivo
ubiquitin recycling	CM exclusivo
ventral spinal cord interneuron differentiation	CM exclusivo
cerebellar Purkinje cell differentiation	CM exclusivo
positive regulation of Rac protein signal transduction	CM exclusivo
cell migration involved in gastrulation	CM exclusivo
positive regulation of membrane potential	CM exclusivo
macrophage proliferation	CM exclusivo
vitamin D receptor signaling pathway	CM exclusivo
cellular response to salt stress	CM exclusivo
glomerular epithelial cell development	CM exclusivo
ferroptosis	CM exclusivo
spontaneous synaptic transmission	CM exclusivo
carbohydrate derivative transport	CM exclusivo
inner ear receptor cell differentiation	CM exclusivo
positive regulation of protein catabolic process	CM exclusivo
arginine metabolic process	CM exclusivo
sex-chromosome dosage compensation	CM exclusivo
response to salt stress	CM exclusivo
removal of superoxide radicals	CM exclusivo
regulation of superoxide anion generation	CM exclusivo
snRNA 3'-end processing	CM exclusivo
AMP metabolic process	CM exclusivo
cellular response to vitamin D	CM exclusivo
regulation of DNA damage checkpoint	CM exclusivo
skin development	CM exclusivo
regulation of animal organ morphogenesis	CM exclusivo
virion assembly	CM exclusivo
regulation of response to nutrient levels	CM exclusivo
potassium ion homeostasis	CM exclusivo
long-term synaptic depression	CM exclusivo
regulation of presynapse organization	CM exclusivo
regulation of transcription regulatory region DNA binding	CM exclusivo
myelin maintenance	CM exclusivo
aldehyde biosynthetic process	CM exclusivo
lateral mesoderm development	CM exclusivo
neuroendocrine cell differentiation	CM exclusivo
dopamine uptake	CM exclusivo
response to macrophage colony-stimulating factor	CM exclusivo
positive regulation of viral process	CM exclusivo
regulation of cold-induced thermogenesis	CM exclusivo
neutral amino acid transport	CM exclusivo
NADH metabolic process	CM exclusivo
modified amino acid transport	CM exclusivo
positive regulation of striated muscle cell differentiation	CM exclusivo
positive regulation of organic acid transport	CM exclusivo
modified amino acid biosynthetic process	CM exclusivo
postsynaptic density organization	CM exclusivo
regulation of extrinsic apoptotic signaling pathway in absence of ligand	CM exclusivo
actin polymerization or depolymerization	CM exclusivo
endosome to lysosome transport	CM exclusivo
release of sequestered calcium ion into cytosol	CM exclusivo
development of primary sexual characteristics	CM exclusivo
peptidyl-lysine modification	CM exclusivo
response to oxygen radical	CM exclusivo
ganglioside metabolic process	CM exclusivo
regulation of animal organ formation	CM exclusivo
hypothalamus development	CM exclusivo
phosphatidylethanolamine metabolic process	CM exclusivo
bone maturation	CM exclusivo
negative regulation of amyloid-beta formation	CM exclusivo
regulation of receptor localization to synapse	CM exclusivo
positive regulation of telomere maintenance via telomere lengthening	CM exclusivo
inhibitory synapse assembly	CM exclusivo
regulation of intracellular protein transport	CM exclusivo
cold-induced thermogenesis	CM exclusivo
regulation of potassium ion transport	CM exclusivo
