category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	30/1366	122/9446	0.2459016393442623	1.700429637808127	3.2015769735254924	0.0019947955095774576	0.00811675414241862	0.004875362285960635	MAP2K1/MAP2K2/PPP2CA/PTEN/RAF1/KRAS/NRAS/PLCB1/PIK3CA/SMPD1/PLCB4/RAC1/GNAI1/PPP2R5D/PPP2R1A/PRKCZ/HRAS/DEGS1/CTSD/TP53/SPTLC1/SGPL1/GNAI3/PRKCG/MAPK1/PIK3CD/PLCB3/SPTSSA/PIK3R2/ASAH1	30
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	36/1366	155/9446	0.23225806451612904	1.606083219194257	3.128149705888336	0.002220501930318046	0.008932473674233957	0.00536532763067279	CAMK2G/MAP2K1/ADCY5/MAP2K2/CACNA1C/RAP1B/CACNA1S/APC2/ITPR1/AIPL1/KMT2D/CAMK2B/CAMK2A/CACNA1I/PLCB1/WNT7B/PLCB4/RB1/GNAI1/CTNNB1/BRAF/ORAI1/KMT2A/FH/ADCY6/CACNA1D/KCNA4/MRAP/APC/GNAI3/MAPK1/PBX1/PLCB3/PDE8B/USP8/CACNA1G	36
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	25/1366	98/9446	0.25510204081632654	1.7640511548689752	3.1260561383371273	0.0026889222851221167	0.010695263920598082	0.006424154956767209	CAMK2G/ATP1A2/ADCY5/CACNA1C/CACNA1S/ITPR1/ATP2B3/CAMK2B/CAMK2A/ATP1A3/CACNA1I/PLCB1/PLCB4/ATP2B1/ORAI1/ADCY6/KCNK9/CACNA1D/PRKD1/PRKCG/CYP11B2/NR4A2/PLCB3/PDE2A/CACNA1G	25
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	19/1366	68/9446	0.27941176470588236	1.9321548531564896	3.171816526116418	0.00281880157949216	0.011087286212669162	0.006659624784297267	MAP2K1/MAP2K2/STAT3/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/KIT/BRAF/HRAS/IKBKG/DUSP6/CSF1R/MAPK1/PIK3CD/PIK3R2	19
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	21/1366	78/9446	0.2692307692307692	1.8617524496001803	3.142150895493021	0.0028534471927111893	0.0111002231452721	0.006667395406913363	INPP5E/INPP5K/INPPL1/PTEN/FIG4/SYNJ1/PLCB1/PIK3CA/TPI1/PLCB4/MINPP1/ALDH6A1/PIK3CG/OCRL/PI4KA/PLCH1/MTM1/MTMR14/PIK3CD/PLCB3/PI4K2A	21
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	29/1366	120/9446	0.24166666666666667	1.6711444607125427	3.0421426720381644	0.003094874309063133	0.011908538102264664	0.007152913162823259	CAMK2G/MAP2K1/MAP2K2/RAP1B/NTRK2/CAMK2B/CAMK2A/BDNF/RPS6KA3/RAF1/KRAS/NRAS/SOS1/SOS2/PTPN11/PIK3CA/RAC1/BRAF/HRAS/YWHAE/TP53/PSEN1/PSEN2/MAPK1/CDC42/SH2B1/PIK3CD/KIDINS220/PIK3R2	29
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	23/1366	89/9446	0.25842696629213485	1.787043282280751	3.067227260358872	0.003271757449952852	0.01245378642240118	0.00748041884426119	COL1A1/ITGA3/AGRN/DAG1/LAMB2/COL1A2/ITGB6/LAMA2/LAMB1/ITGA7/LAMA1/HSPG2/GP1BB/TNXB/COL6A2/COL6A3/SV2A/COL4A1/COL2A1/COL6A1/COL4A2/RELN/TNR	23
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	34/1366	149/9446	0.22818791946308725	1.5779378383955507	2.9236373295659237	0.003917399941671245	0.014611372959057395	0.008776382211506374	MAP2K1/ADCY5/MAP2K2/INS/RRAS2/MTOR/RRAS/RAF1/MRAS/KRAS/NRAS/SOS1/SOS2/PTPN11/PLCB1/PIK3CA/PLCB4/KIT/DNM1/PIK3CG/HRAS/DNM2/RALA/ADCY6/ARF1/MAPK1/PIK3CD/PLCB3/PDGFRB/PDGFB/GRM1/GRM7/INSR/PIK3R2	34
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	21/1366	80/9446	0.2625	1.815208638360176	3.010629690025211	0.0039603577206745845	0.014611372959057395	0.008776382211506374	FGFR3/MAP2K1/MAP2K2/STAT3/PTEN/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/BRAF/HRAS/NF1/PRKCG/MAPK1/PIK3CD/PDGFRB/PDGFB/PIK3R2	21
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	29/1366	122/9446	0.23770491803278687	1.6437486498811895	2.942495210007555	0.0039985205271081455	0.014611372959057395	0.008776382211506374	MAP2K1/ADCY5/MAP2K2/CACNA1C/STAT3/CACNA1S/ITPR1/POU1F1/CREBBP/EP300/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PLCB1/PIK3CA/PLCB4/GNAI1/HRAS/ADCY6/CACNA1D/GNAI3/PRKCG/MAPK1/PIK3CD/PLCB3/PIK3R2	29
Organismal Systems	Endocrine system	hsa04918	Thyroid hormone synthesis	20/1366	75/9446	0.26666666666666666	1.8440214738897023	3.017253567156196	0.004003681291041151	0.014611372959057395	0.008776382211506374	ATP1A2/TSHR/TSHB/ADCY5/ITPR1/ATP1A3/PLCB1/PLCB4/DUOX2/PAX8/ADCY6/SLC26A4/DUOXA2/SLC5A5/TG/TPO/IYD/TTR/PRKCG/PLCB3	20
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	45/1366	212/9446	0.21226415094339623	1.467823696787204	2.832538765439841	0.004467554249940289	0.016137900045702678	0.009693297083651325	FGFR3/MAP2K1/ADCY5/MAP2K2/GRIN2B/RAP1B/INS/GRIN1/RRAS/RAF1/MRAS/KRAS/NRAS/PLCB1/PIK3CA/PLCB4/KIT/RAC1/GNAI1/PRKCZ/CTNNB1/BRAF/GRIN2A/ACTB/HRAS/FGFR1/FGF8/FGF17/RALA/ADCY6/CSF1R/PFN1/PRKD1/GNAO1/GNAI3/PRKCG/MAPK1/CDC42/PIK3CD/PLCB3/PDGFRB/PDGFB/TIAM1/INSR/PIK3R2	45
Environmental Information Processing	Signal transduction	hsa04012	ErbB signaling pathway	22/1366	86/9446	0.2558139534883721	1.7689740883244236	2.9453957616478084	0.00453471889254041	0.016215055433932375	0.009739640789932618	CAMK2G/MAP2K1/MAP2K2/CAMK2B/CAMK2A/MTOR/CBL/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/BRAF/PAK3/HRAS/ERBB4/PAK1/PRKCG/MAPK1/PIK3CD/PIK3R2	22
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	43/1366	203/9446	0.21182266009852216	1.4647707520429285	2.7523330362884852	0.005578927337804029	0.01974940277582626	0.011862561286699092	DIAPH1/MAP2K1/RAP1B/COL1A1/ITGA3/LAMB2/COL1A2/PTEN/ITGB6/LAMA2/LAMB1/RAF1/SOS1/SOS2/MYL2/ITGA7/PIK3CA/LAMA1/RAC1/CTNNB1/BRAF/TNXB/PAK3/ACTB/HRAS/COL6A2/COL6A3/COL4A1/COL2A1/PPP1CB/PAK1/FLNA/COL6A1/PRKCG/MAPK1/CDC42/PIK3CD/PDGFRB/PDGFB/COL4A2/RELN/TNR/PIK3R2	43
Genetic Information Processing	Chromosome	hsa03083	Polycomb repressive complex	21/1366	83/9446	0.25301204819277107	1.749598687576073	2.82020710519731	0.0062728671779005325	0.021986088920562263	0.01320603616400112	HCFC1/PCGF2/USP45/ASXL1/YY1/CREBBP/EP300/JARID2/USP7/ASXL3/RNF2/EZH2/BCORL1/BCOR/BAP1/ASXL2/MBD5/AUTS2/SUZ12/EED/CSNK2B	21
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	33/1366	148/9446	0.22297297297297297	1.5418760634719637	2.7318490869928365	0.006432813499631577	0.02223827357993759	0.013357511933236376	MAP2K1/MAP2K2/APC2/JAG1/NOTCH3/DLL1/PTEN/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/WNT7B/RB1/KIT/CTNNB1/LRP5/BRAF/HRAS/BRCA2/FGFR1/FGF8/FGF17/DDB2/TP53/NOTCH1/DLL4/APC/MAPK1/PIK3CD/PIK3R2	33
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	24/1366	99/9446	0.24242424242424243	1.6763831580815476	2.7816014976838717	0.00647045813201574	0.02223827357993759	0.013357511933236376	CACNA1C/LMNA/CACNA1S/CACNA2D1/ITGA3/DAG1/ITGB6/LAMA2/DMD/TPM2/MYL2/ITGA7/TPM3/LAMA1/TGFB3/SGCE/ACTB/EMD/CACNA1D/CACNA2D2/TGFB1/MYH7/TTN/EDN1	24
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	15/1366	53/9446	0.2830188679245283	1.9570982623829387	2.8728500068070297	0.006626547324687509	0.022555747624417095	0.013548204044401586	ATP1A2/ATP2B3/CLTC/AP2M1/ATP1A3/PLCB1/PLCB4/ATP2B1/DNM1/DNM2/ADCY6/VDR/PRKCG/PLCB3/CLTCL1	15
Genetic Information Processing	Replication and repair	hsa03420	Nucleotide excision repair	17/1366	63/9446	0.2698412698412698	1.8659741104836272	2.8354694688397903	0.006733171048215418	0.022700405248269124	0.013635093250521448	ERCC8/CUL4B/ERCC2/ERCC1/ERCC6/ERCC5/ERCC4/DDB1/POLE/POLD1/RFC2/XPA/XPC/DDB2/GTF2H5/ERCC3/POLR2A	17
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	25/1366	105/9446	0.23809523809523808	1.6464477445443768	2.7387477794656037	0.007045139831731576	0.023528108494650733	0.014132256663453607	ADCY5/CACNA1C/LMNA/CACNA1S/CACNA2D1/ITGA3/DAG1/ITGB6/LAMA2/DMD/TPM2/MYL2/ITGA7/TPM3/LAMA1/TGFB3/SGCE/ACTB/ADCY6/EMD/CACNA1D/CACNA2D2/TGFB1/MYH7/TTN	25
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	12/1366	39/9446	0.3076923076923077	2.127717085257349	2.90153318575191	0.007127196153759169	0.023579695686268654	0.01416324272562078	GLDC/DHFR/ALDH7A1/AHCY/DLD/GCSH/MTR/ATIC/MTHFS/SHMT2/MTHFR/SARDH	12
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	33/1366	150/9446	0.22	1.5213177159590043	2.6461880644943356	0.007929051353072349	0.025989668323959363	0.015610802858875386	MAP2K1/MAP2K2/APC2/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/WNT7B/RARB/RB1/TGFB3/MLH1/TGFBR2/CTNNB1/LRP5/BRAF/CTNNA2/HRAS/FGF8/FGF17/DDB2/TP53/SMAD4/TERT/TGFB1/SHH/APC/MAPK1/PIK3CD/PIK3R2	33
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	24/1366	101/9446	0.2376237623762376	1.6431874519809229	2.6719556639605324	0.008387248963901767	0.027239322323130512	0.016361412754303785	DIAPH1/STAT3/COL1A1/COL1A2/KRAS/NRAS/PLCB1/PIK3CA/PLCB4/RAC1/TGFB3/TGFBR2/PRKCZ/HRAS/COL4A1/SMAD4/TGFB1/EDN1/MAPK1/CDC42/PIK3CD/PLCB3/COL4A2/PIK3R2	24
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	31/1366	140/9446	0.22142857142857142	1.5311964024262705	2.6035041197123743	0.008970076994196977	0.028768340496970503	0.01727982390837955	MAP2K1/ADCY5/MAP2K2/MEF2C/ITPR1/JAG1/HDAC4/GNB1/NOTCH3/RRAS2/GNB2/RYR1/MTOR/RRAS/RAF1/MRAS/KRAS/NRAS/PLCB1/MYL2/PLCB4/GNAI1/GNB5/PIK3CG/HRAS/ADCY6/PPARGC1A/SMAD4/GNAI3/MAPK1/PLCB3	31
Organismal Systems	Endocrine system	hsa04922	Glucagon signaling pathway	25/1366	107/9446	0.2336448598130841	1.615673020347286	2.633373580568984	0.00903209508038924	0.028768340496970503	0.01727982390837955	CAMK2G/FBP1/PYGL/GCK/ACACA/PHKA2/ITPR1/CPT1A/PHKG2/CAMK2B/CAMK2A/SLC2A1/CREBBP/EP300/PHKB/PLCB1/PLCB4/PPP3CA/PDHA1/PDHB/PPARGC1A/PLCB3/LDHA/CPT1C/SIK1	25
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	34/1366	157/9446	0.21656050955414013	1.4975333625537393	2.584688456669255	0.009101847840849425	0.028768340496970503	0.01727982390837955	MAP2K1/MAP2K2/ITPR1/PTEN/RRAS2/MTOR/RRAS/RAF1/MRAS/KRAS/NRAS/PIK3CA/PPP3CA/RB1/TGFB3/TGFBR2/MRE11/TRPV4/HRAS/ATM/CHEK2/PPP1CB/CACNA1D/RAD50/SQSTM1/TP53/SLC25A4/FBXW11/TGFB1/MAPK1/RBL2/PIK3CD/PIK3R2/CAPN1	34
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	21/1366	86/9446	0.2441860465116279	1.6885661752187682	2.637409926936008	0.00959135363285819	0.030047249433909726	0.018048005904400134	CACNA1C/LMNA/CACNA1S/CACNA2D1/ITGA3/DAG1/ITGB6/LAMA2/DMD/ITGA7/LAMA1/CTNNB1/CTNNA2/SGCE/ACTB/EMD/CACNA1D/GJA1/CACNA2D2/ACTN2/CDH2	21
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	18/1366	71/9446	0.2535211267605634	1.7531190068669706	2.618953544143717	0.010677299950288625	0.03315582616142257	0.019915185502846742	MAP2K1/MAP2K2/STAT3/GCK/INS/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/HRAS/TH/GALT/TNFRSF11A/MAPK1/PIK3CD/PIK3R2	18
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	12/1366	41/9446	0.2926829268292683	2.023926007927722	2.701479978127692	0.010932888256117997	0.033474622191453196	0.020106671670156243	GLDC/GAMT/ALDH7A1/DLD/GCSH/GLYCTK/DAO/PSPH/PHGDH/PSAT1/SHMT2/SARDH	12
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	21/1366	87/9446	0.2413793103448276	1.6691573686070582	2.5780647320677814	0.010969085237877317	0.033474622191453196	0.020106671670156243	ATP1A2/UQCRFS1/CACNA1C/CACNA1S/CACNA2D1/ATP1A3/TPM2/COX5A/MYL2/TPM3/SLC9A7/SLC9A6/CACNA1D/COX8A/CACNA2D2/MYH7/COX6B1/COX6A2/COX4I1/UQCRC1/UQCRQ	21
Metabolism	Metabolism of cofactors and vitamins	hsa00860	Porphyrin metabolism	13/1366	46/9446	0.2826086956521739	1.9542618880896299	2.667492570511033	0.011244148993044293	0.03402075849177504	0.020434710720602316	MMAB/COX15/GUSB/ALAD/EARS2/FXN/FTL/EPRS1/COX10/CP/HMBS/FTH1/UGT1A1	13
Organismal Systems	Endocrine system	hsa04912	GnRH signaling pathway	22/1366	93/9446	0.23655913978494625	1.6358255010311875	2.533521532219609	0.011906152837890127	0.03571845851367038	0.021454441331434482	CAMK2G/MAP2K1/ADCY5/MAP2K2/CACNA1C/CACNA1S/ITPR1/CAMK2B/CAMK2A/RAF1/KRAS/NRAS/SOS1/SOS2/PLCB1/PLCB4/HRAS/ADCY6/CACNA1D/MAPK1/CDC42/PLCB3	22
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	26/1366	115/9446	0.22608695652173913	1.563409510471704	2.4993648026592528	0.012118878888846257	0.03605111871135777	0.021654255068968984	MAP2K1/ADCY5/MEF2C/ITPR1/CYP24A1/WNK1/SLC34A1/WNK3/RAF1/PLCB1/PLCB4/GNAI1/CYP27B1/LRP5/BRAF/SLC34A3/CASR/FGFR1/ADCY6/VDR/GNAI3/PRKCG/MAPK1/NR4A2/PDE4D/PLCB3	26
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	23/1366	99/9446	0.23232323232323232	1.6065338598281498	2.4943487618456532	0.012786309008322153	0.03740787924748795	0.022469198953293388	MAP2K1/ADCY5/MAP2K2/JAG1/NOTCH3/DLL1/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/RB1/BRAF/HRAS/ADCY6/TP53/NOTCH1/DLL4/MAPK1/PIK3CD/PIK3R2	23
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	23/1366	99/9446	0.23232323232323232	1.6065338598281498	2.4943487618456532	0.012786309008322153	0.03740787924748795	0.022469198953293388	MAP2K1/MAP2K2/PCYT1A/SLC5A7/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/RAC1/HRAS/SLC22A5/CHKA/CHKB/PRKCG/MAPK1/WASF1/PIK3CD/PDGFRB/PDGFB/PIK3R2	23
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	30/1366	138/9446	0.21739130434782608	1.5032783754535615	2.448726474293922	0.012991016031581044	0.037695243239177785	0.022641805335456178	MAP2K1/FBP1/MAP2K2/PYGL/GCK/INS/ACACA/PHKA2/PHKG2/INPPL1/MTOR/CBL/RAF1/KRAS/NRAS/SOS1/SOS2/PHKB/PIK3CA/PRKCZ/BRAF/HRAS/PPP1CB/PPARGC1A/MAPK1/PRKAR1B/PIK3CD/HK1/INSR/PIK3R2	30
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	12/1366	42/9446	0.2857142857142857	1.9757372934532522	2.6056848612473322	0.013343574274326543	0.03840345766757395	0.02306719729066292	HADHA/ALDH3A2/HADH/DHTKD1/ALDH7A1/DLD/ACAT1/DDC/ACAT2/ECHS1/GCDH/KYNU	12
Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	29/1366	133/9446	0.21804511278195488	1.5077995134248505	2.4249006493531913	0.013851781399115899	0.03950519300339782	0.023728959222974605	MAP2K1/MAP2K2/STAT3/INS/FOXG1/PTEN/CREBBP/EP300/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/USP7/TGFB3/TGFBR2/BRAF/HRAS/ATM/SMAD4/PLK4/TGFB1/MAPK1/RBL2/PIK3CD/GRM1/INSR/PIK3R2	29
Metabolism	Lipid metabolism	hsa00062	Fatty acid elongation	9/1366	28/9446	0.32142857142857145	2.222704455134909	2.664046602107821	0.013979632774856497	0.03950519300339782	0.023728959222974605	HADHB/HADHA/HADH/HACD1/PPT1/MECR/ECHS1/ELOVL1/ELOVL4	9
Metabolism	Glycan biosynthesis and metabolism	hsa00604	Glycosphingolipid biosynthesis - ganglio series	6/1366	15/9446	0.4	2.7660322108345534	2.8144013340250846	0.014061170391039901	0.03950519300339782	0.023728959222974605	HEXB/HEXA/GLB1/ST3GAL5/SLC33A1/B4GALNT1	6
Organismal Systems	Excretory system	hsa04960	Aldosterone-regulated sodium reabsorption	11/1366	38/9446	0.2894736842105263	2.001733836788164	2.543994324393295	0.01582543859121632	0.04411185245110691	0.02649596846602318	ATP1A2/INS/ATP1A3/KRAS/PIK3CA/NEDD4L/PRKCG/MAPK1/PIK3CD/INSR/PIK3R2	11
Organismal Systems	Endocrine system	hsa04924	Renin secretion	17/1366	69/9446	0.2463768115942029	1.7037154921807032	2.412183541049827	0.01707220079710675	0.04721530532949836	0.02836007040308852	PRKG2/ADCY5/CACNA1C/CACNA1S/ITPR1/KCNMA1/EDN3/PLCB1/PLCB4/PPP3CA/GNAI1/ORAI1/ADCY6/CACNA1D/EDN1/GNAI3/PLCB3	17
Metabolism	Glycan biosynthesis and metabolism	hsa00541	Biosynthesis of various nucleotide sugars	7/1366	20/9446	0.35	2.4202781844802344	2.614239346440878	0.018057700950645846	0.04955369098084209	0.02976463151391645	NANS/GMPPA/GMPPB/CYB5R3/UGDH/GNE/UGP2	7
